X,Y,Concentrations,Crez,Vx,Vy
5.0,5.0,0.0,0,0.0,0.0
5.0,15.0,0.0,0,0.010752173179975386,0.0
5.0,25.0,0.0,0,0.011199419564433384,0.0
5.0,35.0,0.0,0,0.011656568901949587,0.0
5.0,45.0,0.0,0,0.012121353547201268,0.0
5.0,55.0,0.0,0,0.012590995861636669,0.0
5.0,65.0,0.0,0,0.013062175721461886,0.0
5.0,75.0,0.0,0,0.01353101299608453,0.0
5.0,85.0,0.0,0,0.01399307059505647,0.0
5.0,95.0,0.0,0,0.014443383836052443,0.0
5.0,105.0,0.0,0,0.01487652144692948,0.0
5.0,115.0,0.0,0,0.015286682295625997,0.0
5.0,125.0,0.0,0,0.015667829814480835,0.0
5.0,135.0,0.0,0,0.01601386303685663,0.0
5.0,145.0,0.0,0,0.01631881934987034,0.0
5.0,155.0,0.0,0,0.016577099848640833,0.0
5.0,165.0,0.0,0,0.016783704114641345,0.0
5.0,175.0,0.0,0,0.01693445802801214,0.0
5.0,185.0,0.0,0,0.017026216565749933,0.0
5.0,195.0,0.0,0,0.017057023984202002,0.0
5.0,205.0,0.0,0,0.017026216565749933,0.0
5.0,215.0,0.0,0,0.01693445802801214,0.0
5.0,225.0,0.0,0,0.016783704114641345,0.0
5.0,235.0,0.0,0,0.016577099848640833,0.0
5.0,245.0,0.0,0,0.01631881934987034,0.0
5.0,255.0,0.0,0,0.01601386303685663,0.0
5.0,265.0,0.0,0,0.015667829814480835,0.0
5.0,275.0,0.0,0,0.015286682295625997,0.0
5.0,285.0,0.0,0,0.01487652144692948,0.0
5.0,295.0,0.0,0,0.014443383836052443,0.0
5.0,305.0,0.0,0,0.01399307059505647,0.0
5.0,315.0,0.0,0,0.01353101299608453,0.0
5.0,325.0,0.0,0,0.013062175721461886,0.0
5.0,335.0,0.0,0,0.012590995861636669,0.0
5.0,345.0,0.0,0,0.012121353547201268,0.0
5.0,355.0,0.0,0,0.011656568901949587,0.0
5.0,365.0,0.0,0,0.011199419564433384,0.0
5.0,375.0,0.0,0,0.010752173179975386,0.0
5.0,385.0,0.0,0,0.010316629816605652,0.0
15.0,5.0,0.0,0,0.0,0.008513828962640323
15.0,15.0,0.0,0,0.010865124830134057,0.008400877312481653
15.0,25.0,0.0,0,0.011343213781884198,0.00825708309503093
15.0,35.0,0.0,0,0.011834175920928332,0.008079476076052137
15.0,45.0,0.0,0,0.012335725362268596,0.007865104260984721
15.0,55.0,0.0,0,0.01284497907437882,0.007611121048242661
15.0,65.0,0.0,0,0.01335840531521217,0.0073148914544923106
15.0,75.0,0.0,0,0.013871787724084168,0.006974116726492825
15.0,85.0,0.0,0,0.014380212529188311,0.00658697479236092
15.0,95.0,0.0,0,0.014878086947934932,0.006152271680478473
15.0,105.0,0.0,0,0.015359196740682396,0.005669596386725468
15.0,115.0,0.0,0,0.015816809712487806,0.0051394689698636585
15.0,125.0,0.0,0,0.016243829478810343,0.004563469305534128
15.0,135.0,0.0,0,0.016632999899483622,0.003944332442907136
15.0,145.0,0.0,0,0.01697715536443399,0.0032859964283434725
15.0,155.0,0.0,0,0.01726950603253382,0.002593590244450461
15.0,165.0,0.0,0,0.017503940974744024,0.001873353384347894
15.0,175.0,0.0,0,0.017675327017269152,0.001132484395090877
15.0,185.0,0.0,0,0.01777977806590126,0.00037892289493958854
15.0,195.0,0.0,0,0.017814869774081043,-0.00037892289493958854
15.0,205.0,0.0,0,0.01777977806590126,-0.001132484395090877
15.0,215.0,0.0,0,0.017675327017269152,-0.001873353384347894
15.0,225.0,0.0,0,0.017503940974744024,-0.002593590244450461
15.0,235.0,0.0,0,0.01726950603253382,-0.0032859964283434725
15.0,245.0,0.0,0,0.01697715536443399,-0.003944332442907136
15.0,255.0,0.0,0,0.016632999899483622,-0.004563469305534128
15.0,265.0,0.0,0,0.016243829478810343,-0.0051394689698636585
15.0,275.0,0.0,0,0.015816809712487806,-0.005669596386725468
15.0,285.0,0.0,0,0.015359196740682396,-0.006152271680478473
15.0,295.0,0.0,0,0.014878086947934932,-0.00658697479236092
15.0,305.0,0.0,0,0.014380212529188311,-0.006974116726492825
15.0,315.0,0.0,0,0.013871787724084168,-0.0073148914544923106
15.0,325.0,0.0,0,0.01335840531521217,-0.007611121048242661
15.0,335.0,0.0,0,0.01284497907437882,-0.007865104260984721
15.0,345.0,0.0,0,0.012335725362268596,-0.008079476076052137
15.0,355.0,0.0,0,0.011834175920928332,-0.00825708309503093
15.0,365.0,0.0,0,0.011343213781884198,-0.008400877312481653
15.0,375.0,0.0,0,0.010865124830134057,-0.008513828962640323
15.0,385.0,0.0,0,0.010401658615168754,-0.00859885776120347
25.0,5.0,0.0,0,0.0,0.008977506374138867
25.0,15.0,0.0,0,0.010963375170228013,0.008879256034044866
